supplier,city,country,cat,score,votes,comment
Erdgas Südwest GmbH,Ettlingen, Deutschland,Ökostromanbieter Gasversorgungsunternehmen Stromversorgungsunternehmen Energieanbieter Energieanlagen und -lösungen Heizungsanlagenanbieter,4.4,46,https://de.trustpilot.com/review/erdgas-suedwest.de
Zenstrom,Berlin, Deutschland,Energieanbieter Ökostromanbieter Stromversorgungsunternehmen,4.0,89,https://de.trustpilot.com/review/zenstrom.de
VeganStrom,Berlin, Deutschland,Stromversorgungsunternehmen Ökostromanbieter Energieanbieter,4.0,30,https://de.trustpilot.com/review/veganstrom.com
Fair Trade Power Deutschland GmbH,München, Deutschland,Stromversorgungsunternehmen Ökostromanbieter Energieanbieter,4.0,3,https://de.trustpilot.com/review/fairtradepower.de
Lekker Energie GmbH,Berlin, Deutschland,Energieanbieter Gasversorgungsunternehmen Stromversorgungsunternehmen Energieversorger Ökostromanbieter,3.9,224,https://de.trustpilot.com/review/lekker.de
1KOMMA5°,Hamburg, Deutschland,Energieanlagen und -lösungen Stromversorgungsunternehmen Solartechnikanbieter,3.8,15,https://de.trustpilot.com/review/1komma5grad.com
Paketsparer,Berlin, Deutschland,Telekommunikationsanbieter Internetanbieter Telefon- und Internetdienst Gasversorgungsunternehmen Energieversorger Stromversorgungsunternehmen,3.7,49,https://de.trustpilot.com/review/paketsparer.de
NEW Energie,Mönchengladbach, Deutschland,Stromversorgungsunternehmen,3.6,618,https://de.trustpilot.com/review/www.new-energie.de
SWK ENERGIE GmbH,Krefeld, Deutschland,Stadtwerke Ökostromanbieter Stromversorgungsunternehmen Gasversorgungsunternehmen Energieversorger Energieanbieter,3.6,140,https://de.trustpilot.com/review/www.swk.de
Gas-und-Stromvergleich.de,,,Stromversorgungsunternehmen Gasversorgungsunternehmen,0.0,0,https://de.trustpilot.com/review/www.gas-und-stromvergleich.de
nowenergy,Berlin, Deutschland,Gasversorgungsunternehmen Stromversorgungsunternehmen Internetanbieter Energieversorger Telekommunikationsanbieter Telefon- und Internetdienst,3.4,81,https://de.trustpilot.com/review/www.nowenergy.de
CHONO MEDIA,,,Reiseanbieter Telekommunikationsanbieter Stromversorgungsunternehmen Online-Marktplatz,3.2,39,https://de.trustpilot.com/review/www.chono.de
Fresh Energy,Berlin, Deutschland,Stromversorgungsunternehmen,3.1,68,https://de.trustpilot.com/review/getfresh.energy
Polarstern Energie,München, Deutschland,Energieanbieter Ökostromanbieter Stromversorgungsunternehmen Gasversorgungsunternehmen,3.1,32,https://de.trustpilot.com/review/polarstern-energie.de
Primastrom,Berlin, Deutschland,Stromversorgungsunternehmen Telekommunikationsanbieter Internetanbieter Energieversorger Gasversorgungsunternehmen Telefon- und Internetdienst,2.8,127,https://de.trustpilot.com/review/primastrom.de
eprimo GmbH,Neu-Isenburg, Deutschland,Stromversorgungsunternehmen Energieversorger Gasversorgungsunternehmen Energieanbieter,2.6,8863,https://de.trustpilot.com/review/eprimo.de
voxenergie,Berlin, Deutschland,Internetanbieter Stromversorgungsunternehmen Gasversorgungsunternehmen Energieversorger Telefon- und Internetdienst Telekommunikationsanbieter,2.4,133,https://de.trustpilot.com/review/www.voxenergie.de
Lition Energie,Berlin, Deutschland,Stromversorgungsunternehmen,1.9,125,https://de.trustpilot.com/review/lition.de
Oekostrom,,,Gasversorgungsunternehmen Stromversorgungsunternehmen,1.7,45,https://de.trustpilot.com/review/oekostrom.com
MEP Werke,Eckernförde, Deutschland,Stromversorgungsunternehmen,1.5,961,https://de.trustpilot.com/review/mep-werke.de
LichtBlick,Hamburg, Deutschland,Wärmeenergie-Unternehmen Stromversorgungsunternehmen Ökostromanbieter Energieanbieter,1.3,1726,https://de.trustpilot.com/review/lichtblick.de
RWE,Essen, Deutschland,Stromversorgungsunternehmen,1.3,90,https://de.trustpilot.com/review/www.rwe.de
EWE,,,Stromversorgungsunternehmen,1.2,2239,https://de.trustpilot.com/review/www.ewe.de
Mein Stromgas,Dorsten, Deutschland,Stromversorgungsunternehmen,0.0,0,https://de.trustpilot.com/review/mein-stromgas.de
OPTUM GmbH,,,Gasversorgungsunternehmen Ökostromanbieter Stromversorgungsunternehmen Energieanbieter,0.0,0,https://de.trustpilot.com/review/optum-eba.de
Netzberatung,Kassel, Deutschland,Energieanbieter Stromversorgungsunternehmen Vertriebsdienst Telefon- und Internetdienst Gasversorgungsunternehmen Mobiltelefongeschäft,0.0,0,https://de.trustpilot.com/review/netzberatung.shop
